,moniker,operator_address,consensus_pubkey,self_delegator_address,proposals_voted,self_delegation,tokens,tokens_bluring,identity,website,security_contact,details,commission_rate,max_commission_rate,max_commission_change_rate,min_self_delegation,pre_commits
49,NosNode🧪🧿,osmovaloper10jm8fvdyqlj78w0j5nawc76wsn4pqmdxgzgh4c,osmovalconspub164uwqx3t7vz0ses9tqqafcs95el0xz4ur3xcd85m9w7gxx2pyngqtcmmay,osmo10jm8fvdyqlj78w0j5nawc76wsn4pqmdxj4q5zl,4.0,16266902675.0,411044610314.0,1.0,1.0,1.0,1.0,1.0,0.05,0.2,0.05,1.0,49874
50,e-Money.com // validator.network,osmovaloper1sxx9mszve0gaedz5ld7qdkjkfv8z992a3z2szp,osmovalconspub1hy2s8ng80y7w4ellu02t5d836q4lqwatr8rtcdpssyyhyq2xpr2s2vaf9m,osmo1sxx9mszve0gaedz5ld7qdkjkfv8z992at4zn4x,3.0,13350000000.0,388979875293.0,1.0,1.0,1.0,0.0,1.0,0.05,1.0,1.0,1000000.0,44662
51,dimi 🦙,osmovaloper1s33zct2zhhaf60x4a90cpe9yquw99jj0x8t08z,osmovalconspub1u2s34qfegthwysh0puuva79tamv722ea7sqt6qesnh4d97dge55q528kzs,osmo1s33zct2zhhaf60x4a90cpe9yquw99jj0usrvs9,2.0,9307000000.0,131319634126.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,0.1,1.0,49327
52,🐠stake.fish,osmovaloper1sjllsnramtg3ewxqwwrwjxfgc4n4ef9ua8h4lf,osmovalconspub1ps3xra6n42ra87l2qcpw7kj9fvmhgucea753pun84l8jc4jlszcs0a92m2,osmo1sjllsnramtg3ewxqwwrwjxfgc4n4ef9u8slkgw,0.0,6000000.0,645910821855.0,1.0,1.0,1.0,0.0,1.0,0.05,0.2,0.01,1.0,49513
53,blockscape,osmovaloper13x77yexvf6qexfjg9czp6jhpv7vpjdwwpuclc8,osmovalconspub10qrcq59fe77xckl2zygwzhrn2nhm5ett72486n5wmnqcatxp9v2qmmlqjh,osmo13x77yexvf6qexfjg9czp6jhpv7vpjdwwmtsu0q,0.0,28090128741.0,155310141557.0,1.0,1.0,1.0,0.0,1.0,0.1,0.2,0.01,1.0,49804
54,bro_n_bro,osmovaloper13tk45jkxgf7w0nxquup3suwaz2tx483xe832ge,osmovalconspub1vacrglpfrg5360d77rf778tuyd3pencm6kj7ee9slfkxxg44nanqja3s5g,osmo13tk45jkxgf7w0nxquup3suwaz2tx483xrsefl7,5.0,210000000.0,97527871781.0,1.0,1.0,1.0,0.0,1.0,0.05,0.3,0.01,1.0,49858
55,天照☀,osmovaloper133va8vgy0ygfjmvzy64pgay5w6lg4239nagwnk,osmovalconspub1efeppa8fz2qdh3j75vpcg6m7mdytvwjua0j0g005pqds2qqx646svetj6u,osmo133va8vgy0ygfjmvzy64pgay5w6lg4239f2qdy3,3.0,1211695018.0,52615705514.0,1.0,1.0,0.0,0.0,0.0,0.05,0.2,0.1,1000000.0,49001
56,ping,osmovaloper1jxv0u20scum4trha72c7ltfgfqef6nscqx0u46,osmovalconspub1get43fvyq28kaqren2atgl4wpdxf9f7me33tcz9cngcvj6y4dyuq0qr0ap,osmo1jxv0u20scum4trha72c7ltfgfqef6nsc638lza,0.0,27076000000.0,62412427443.0,1.0,1.0,1.0,0.0,0.0,0.05,0.2,0.1,1.0,49179
57,Chainflow,osmovaloper1j0vaeh27t4rll7zhmarwcuq8xtrmvqhu6m87mz,osmovalconspub1zte346kraygfgvl3h2dfgccyfr4ux24dnpsh868hazdaa247nvls99zh74,osmo1j0vaeh27t4rll7zhmarwcuq8xtrmvqhuqv0av9,0.0,12483000000.0,223469001994.0,1.0,1.0,1.0,0.0,0.0,0.05,1.0,0.1,1.0,49876
58,ITA Stakers,osmovaloper1juczud9nep06t0khghvm643hf9usw45r3jxhxn,osmovalconspub1vvcrejep62ljn2s2n94cwjhe6y75x3sefkcunvft0ugwz0g5u2pqspfmrn,osmo1juczud9nep06t0khghvm643hf9usw45rt9w535,0.0,8472787434.0,90686580388.0,1.0,1.0,1.0,0.0,1.0,0.05,0.2,0.01,1.0,49872
59,Komikuri,osmovaloper1j7euyj85fv2jugejrktj540emh9353ltnz0lvc,osmovalconspub15fkyvhrl89mynpn6csu3kppj6xpfn64tumalm8h3l35x5x22526qa2lrym,osmo1j7euyj85fv2jugejrktj540emh9353ltf48uml,2.0,10000008.0,177152439923.0,1.0,0.0,0.0,0.0,1.0,0.05,0.2,0.1,1.0,49875
60,SolidStake,osmovaloper1n24z8k7w8lxej8xe7uvpn3qc654n43c05unug6,osmovalconspub1y6lhulk5g5kllzxxtza6pzz6c40vflm5hzkyhk69ye3dkfydpjxq0py78t,osmo1n24z8k7w8lxej8xe7uvpn3qc654n43c0wtmlla,0.0,5187132500.0,102964840708.0,1.0,1.0,1.0,0.0,1.0,0.05,0.2,0.02,1.0,49842
61,0base.vc,osmovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4d3kvts,osmovalconspub1hnwf46ghnc3vsy680pahpk45hq7qsh7ktj0cfv0ajqz5zmmgfw6sra0pk4,osmo1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4hx70uh,5.0,4051000000.0,4638208157513.0,1.0,1.0,1.0,1.0,1.0,0.05,0.2,0.01,1.0,49873
62,binary_holdings,osmovaloper15czt5nhlnvayqq37xun9s9yus0d6y26d5jws45,osmovalconspub1n6htagps2asj9zeprkhe9su7rr8ky4falerdyvjcqkz99fcw5rhqetyw9c,osmo15czt5nhlnvayqq37xun9s9yus0d6y26dw9xnzn,0.0,11270071393.0,1129671262304.0,1.0,1.0,1.0,0.0,0.0,0.05,0.5,0.02,800.0,49879
63,Chorus One,osmovaloper15urq2dtp9qce4fyc85m6upwm9xul3049wh9czc,osmovalconspub1mc8y5za8e8vcvydqme7duc5aktfw9e0gxzmkpfxfr5egjcs3j5xq8xmkml,osmo15urq2dtp9qce4fyc85m6upwm9xul30495qdm4l,0.0,176264861734.0,1700460191990.0,1.0,1.0,1.0,1.0,1.0,0.075,0.3,0.1,1.0,49811
64,StakeThat,osmovaloper14suzzfw7rkz7uke8w9lhttnvewku7sd06djndg,osmovalconspub19dplcltxt34r0vhk76yh6u7q69rqj7esd3uj70sffftrej5xca2qzhx6kc,osmo14suzzfw7rkz7uke8w9lhttnvewku7sd0q66s60,0.0,34000000.0,51168049578.0,1.0,1.0,1.0,0.0,1.0,0.05,0.2,0.1,1.0,48496
65,Forbole,osmovaloper14kn0kk33szpwus9nh8n87fjel8djx0y0fhtak5,osmovalconspub17xzxgyuxrkkp84654ascygkc9xawp8x4rqnvrpnaeu98076wtt4qyv3j82,osmo14kn0kk33szpwus9nh8n87fjel8djx0y0nqr7pn,1.0,22504555628.0,1032678134676.0,1.0,1.0,1.0,0.0,1.0,0.05,1.0,1.0,1.0,49870
66,Little_Cryptoman,osmovaloper14amduhjazqhwtkhm6kutdcy4ux5zazf5k803tq,osmovalconspub1gtn68v7sm7wzkgqcf9f479gtkfgpf5a88phne27yxjfmgdn62nhsr2feee,osmo14amduhjazqhwtkhm6kutdcy4ux5zazf5vs8ju8,3.0,100000000.0,485426257587.0,1.0,1.0,1.0,0.0,1.0,0.05,0.2,0.02,1.0,48548
67,ChainLayer,osmovaloper1kgddca7qj96z0qcxr2c45z73cfl0c75pf37k8l,osmovalconspub120f83w4wvt4n9zs7g309p2cv0tf990eq3kkzd23vszez9z5h2pxqegq44j,osmo1kgddca7qj96z0qcxr2c45z73cfl0c75pnxk4sc,0.0,50610000000.0,277396755095.0,1.0,1.0,1.0,0.0,1.0,0.05,0.1,0.01,1.0,49870
68,Merkan,osmovaloper1kls9ca0h980sqfmt0497jj8kad3lcws6g08mld,osmovalconspub17qlnqhjrr86al60n4v8vfr8vl49lwvxxxfat6spj862fec5aw9ksvqxxxj,osmo1kls9ca0h980sqfmt0497jj8kad3lcws6jc0cg2,0.0,1124453.0,101939433912.0,1.0,0.0,1.0,0.0,1.0,0.05,0.2,0.05,1.0,47037
69,CryptoCrew Validators ✅,osmovaloper1h2c47vd943scjlfum6yc5frvu2l279lwjep5d6,osmovalconspub1wr29ft8t0q3e4jtjcq2c2sazqmeckcg5shrcwm9rdkdhzsfpkeeqx4rsym,osmo1h2c47vd943scjlfum6yc5frvu2l279lwgwfh6a,3.0,1000938163.0,370835031159.0,1.0,1.0,1.0,0.0,1.0,0.05,0.1,0.08,3000000.0,49842
70,Figment,osmovaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpf6t4agt,osmovalconspub1wh6vgaa05jkkvva2cpw2dfm3ey4tazcg0dyxwvyuzw79mfdk4znqy3gkuj,osmo1hjct6q7npsspsg3dgvzk3sdf89spmlpfqua7lv,0.0,87891000000.0,3278803503809.0,1.0,1.0,1.0,0.0,1.0,0.05,0.2,0.01,1.0,49876
71,ushakov,osmovaloper1crg24mgm8l3qe7ej9l8t7tsttp40aaas4xmkhx,osmovalconspub1cn7n3vwc80rsv637jwvx4pxg3n5y9qgg6u4ed8vzppgzaxg0arpsw7ppcm,osmo1crg24mgm8l3qe7ej9l8t7tsttp40aaas03n4qp,0.0,2623000000.0,99637373465.0,1.0,1.0,1.0,0.0,1.0,0.05,0.2,0.05,1.0,49878
72,Sentinel,osmovaloper1cyw4vw20el8e7ez8080md0r8psg25n0cq98a9n,osmovalconspub1d7l0xzsl6kc3s9da7xtmjmsaqlswrquravcktqgtjxmzh759sgjsm3wfqj,osmo1cyw4vw20el8e7ez8080md0r8psg25n0c6j07j5,0.0,5000000000.0,5832954135102.0,1.0,1.0,1.0,1.0,1.0,0.05,0.2,0.05,1.0,49750
73,wave,osmovaloper1cyepvt5kayjzsa76ft98ud8mrpvh3acxv83pwv,osmovalconspub1nd5ezjq3glr6jd2sz76mewf4j6thxdqsy3a66ngxp5y75zqrt3hs0yqvm0,osmo1cyepvt5kayjzsa76ft98ud8mrpvh3acxksezet,3.0,250000000.0,55280655280.0,1.0,1.0,1.0,0.0,0.0,0.05,0.2,0.01,1.0,49868
74,StakeWithUs,osmovaloper1c9ye54e3pzwm3e0zpdlel6pnavrj9qqv5qgdz9,osmovalconspub10t3xumwu98gkxc6lm38429suxxsy7a6rgglanz3gcu29d5lp4yysf5xxrq,osmo1c9ye54e3pzwm3e0zpdlel6pnavrj9qqvwhqw4z,2.0,610000000.0,697184632437.0,1.0,1.0,1.0,0.0,1.0,0.05,0.2,0.01,1.0,49785
75,Mandragora,osmovaloper1ceurjtrgxf0hfd4r0hez6fenevazenfhym7s4q,osmovalconspub18ccq2e5dh6f0nht3t9rvcqs5grrz3dh2ym3p2tmfgwp0gf9vga5s5r8yy4,osmo1ceurjtrgxf0hfd4r0hez6fenevazenfh7vknz8,2.0,8225565936.0,87234519804.0,1.0,1.0,0.0,0.0,1.0,0.1,0.2,0.01,1000000.0,49669
76,nonce classic,osmovaloper1cmqh34lt9d457ajk9g94eg2pswrpr08rxqwsyy,osmovalconspub1r6xlsu4zz8zrhdhj9gwwhr74hzrekl98jt0xwgalxpjl5mzzvmcsf0t0f4,osmo1cmqh34lt9d457ajk9g94eg2pswrpr08ruhxnnr,0.0,1000000.0,106228371810.0,1.0,1.0,1.0,1.0,1.0,0.1,0.2,0.05,1.0,48410
77,Cosmostation,osmovaloper1clpqr4nrk4khgkxj78fcwwh6dl3uw4ep88n0y4,osmovalconspub1arw0favpsl8stvvdenrdpzz2uz9lf2vd3pch6rllj23tdazhf4rsayv965,osmo1clpqr4nrk4khgkxj78fcwwh6dl3uw4epasmvnj,4.0,90308070000.0,6374965463584.0,1.0,1.0,1.0,1.0,1.0,0.05,0.2,0.2,1.0,49831
78,KDF,osmovaloper1epp52vecttkkvs3s84c9m8s2v2jrf7gtpx6pq0,osmovalconspub1ltnrkz9sk4dr67ha53ua9lph9hp9hsyfwm79luazkm2zyy4290cscez4m5,osmo1epp52vecttkkvs3s84c9m8s2v2jrf7gtm3jzhg,0.0,864651000000.0,866658880681.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,49775
79,POSTHUMAN ∞ DVS,osmovaloper1e8238v24qccht9mqc2w0r4luq462yxttfpaeam,osmovalconspub1eum9veq22yy6p974sgek2qp3wp68jftl40lntzdll8f7ueayutws6he36w,osmo1e8238v24qccht9mqc2w0r4luq462yxttnk462u,5.0,350506894.0,143817621926.0,1.0,1.0,1.0,0.0,1.0,0.05,0.2,0.1,1.0,49864
80,Stargaze,osmovaloper1et77usu8q2hargvyusl4qzryev8x8t9weceqyk,osmovalconspub1tcpza4j47ltu95389946qghngccztzy6pc37nunmhtmmcmcja3ts5h8g5x,osmo1et77usu8q2hargvyusl4qzryev8x8t9wr03rn3,0.0,8277056000.0,109738593247.0,1.0,1.0,1.0,0.0,1.0,0.1,0.5,0.05,1.0,48229
81,BouBouNode,osmovaloper1eh5mwu044gd5ntkkc2xgfg8247mgc56f4dlt9h,osmovalconspub13cm3y9x32re2lt0lz84adesaydhae4kr7qqr67ac4qlqxgukfhhqfdcz6p,osmo1eh5mwu044gd5ntkkc2xgfg8247mgc56f06hgjs,0.0,89097447495.0,1009645208649.0,1.0,0.0,1.0,0.0,1.0,0.061,0.25,0.1,1.0,47022
82,KalpaTech,osmovaloper1ehkfl7palwrh6w2hhr2yfrgrq8jetguct4ddyl,osmovalconspub1waagmymrtnjrek49z38nf8llwcm055ylr3r9y5d4330w83p9t05qu7muhs,osmo1ehkfl7palwrh6w2hhr2yfrgrq8jetguc3z9wnc,3.0,17339047161.0,296959701376.0,1.0,1.0,1.0,0.0,1.0,0.05,0.2,0.1,1.0,49089
83,StakeLab,osmovaloper16q8xd335y38xk2ul67mjg27vdnrcnklt4wx6kt,osmovalconspub1n0ulkj6kfmay2tfrh7ccqgd8jfdrnztcp36g7597ylm9tj78vguqjtzdeu,osmo16q8xd335y38xk2ul67mjg27vdnrcnklt0ewepv,3.0,52032111.0,2059608745755.0,1.0,1.0,1.0,1.0,1.0,0.05,0.2,0.01,1.0,49322
84,SpacePotato,osmovaloper16gm3cvhluf9xfurkx9qgxq7pldvd479l0j6zms,osmovalconspub1nr85m874u8fypnkfkjzpz40j5u3h5dl8w9mhcgj9aaq5hyzh2wfswdjtpg,osmo16gm3cvhluf9xfurkx9qgxq7pldvd479l49jpvh,3.0,5000582600.0,111643405750.0,1.0,1.0,1.0,0.0,1.0,0.1,0.2,0.01,1.0,47838
85,Klub Staking,osmovaloper16vnsrhxsyamf4f4eln6g587qwwd39fte2m2ysc,osmovalconspub1jamfv7jcnl32fvylzamlpae3hns869729pmc5qfrrsggms5ml6yqw6h47v,osmo16vnsrhxsyamf4f4eln6g587qwwd39ftesvz88l,0.0,1000000.0,126214621237.0,1.0,1.0,1.0,0.0,1.0,0.05,0.1,0.01,1.0,49882
86,SOLAR Validator,osmovaloper16jn3383fn4v4vuuvgclr3q7rumeglw8kdq6e48,osmovalconspub1uu9fzuc8qrfw6s5w3tlvkqqt7sqt6s3s777r87dyea54rxz49dhqa8gqdn,osmo16jn3383fn4v4vuuvgclr3q7rumeglw8khhj6zq,1.0,9132000000.0,70585103959.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,0.01,1.0,49775
87,SmartNodes,osmovaloper16j5hsdrcaa6950ks0rf944rgmncukl74cs7yw6,osmovalconspub1szd7g09cs73kldwcjfr2dwrs2mqqzqf97dwwlh2fddnexn9sxs0qxq588y,osmo16j5hsdrcaa6950ks0rf944rgmncukl74z8k8ea,1.0,2159252177.0,98532018018.0,1.0,1.0,1.0,0.0,1.0,0.05,0.2,0.01,1.0,49869
88,WhisperNode,osmovaloper1md9f5524vtmrn64lyv2pdfn7cnkjkklf44vtjz,osmovalconspub1lgnsv52hkfkddxrn3h3rgvh53tmjdx7m0hlztgkml4q88qt44hzsydmnva,osmo1md9f5524vtmrn64lyv2pdfn7cnkjkklf0zyg99,3.0,1000000.0,69416573836.0,1.0,1.0,1.0,1.0,1.0,0.05,0.2,0.05,1.0,49809
89,hydrogen18,osmovaloper1mwg6lt5eumhpnyx6gzwxaesj7lymyh8erj3xqq,osmovalconspub1eg3dexd54qh9vrmg9q0ry2smu3xvh7d4d9gp7mqwmkx8hwgy97hq5f9wzl,osmo1mwg6lt5eumhpnyx6gzwxaesj7lymyh8ee9e9h8,3.0,1100000.0,125354849507.0,1.0,0.0,0.0,0.0,0.0,0.05,0.1,0.1,1.0,49641
90,#decentralizehk,osmovaloper1m73mgwn3cm2e8x9a9axa0kw8nqz8a492vg4hp4,osmovalconspub18uzwkvff32a9mf0nzlxa6xvq4ukft0m037lsr027jechlp2uut3sdpa7kk,osmo1m73mgwn3cm2e8x9a9axa0kw8nqz8a492kla5kj,2.0,2914900000.0,137506385903.0,1.0,1.0,1.0,0.0,1.0,0.05,0.721,0.05,1.0,37915
91,Skystar Capital,osmovaloper1uxn3xw4xzyvu3xka0fr7krsfzyp8af3eyyurzh,osmovalconspub1y0d37j5md3l8cppcsc78698hr8kvpz8t8v0u3fl7vp6fv3rl438qsay60z,osmo1uxn3xw4xzyvu3xka0fr7krsfzyp8af3e7n5q4s,0.0,3000000000.0,621120733769.0,1.0,0.0,0.0,0.0,0.0,0.05,0.1,0.01,1.0,48905
92,Jerry's Pool,osmovaloper1ukpah0340rx7k3x2njnavwyjv6pfpvn6xjz0gx,osmovalconspub1gu6es8k8x230h0rl3c3q547a0yhyqp2kv824zlh7w3nplxs3q42szmk0tm,osmo1ukpah0340rx7k3x2njnavwyjv6pfpvn6u92vlp,3.0,370878536.0,55419391257.0,1.0,1.0,1.0,1.0,1.0,0.05,0.1,0.01,1.0,46947
93,Cros-nest,osmovaloper1u6jr0pztvsjpvx77rfzmtw49xwzu9kas05lk04,osmovalconspub1v37exkhe8dka7rpwxrrjezm08z2jl7zfvp7gkjfms4u9uaw7w4wq2ma9wz,osmo1u6jr0pztvsjpvx77rfzmtw49xwzu9kas4rh4cj,4.0,7991000000.0,607741780189.0,1.0,1.0,1.0,0.0,0.0,0.05,0.2,0.01,1.0,49860
94,stake.systems,osmovaloper1ualhu3fjgg77g485gmyswkq3w0dp7gysdcdgw2,osmovalconspub1q0ek20ckq0xgmhyq6ejf032jvp6uz77aqy906e5z5au4lnc7vxxsuwsr0w,osmo1ualhu3fjgg77g485gmyswkq3w0dp7gysh09ted,5.0,20573000000.0,58077812275.0,1.0,1.0,1.0,0.0,1.0,0.1,0.2,0.01,1.0,49881
95,FreshOSMO.com,osmovaloper17h2x3j7u44qkrq0sk8ul0r2qr440rwgjp38f93,osmovalconspub1p08jafdmtm36720ft82xxy2jk4d6q62lsh8zaqkasujzhzts5cpq9pfxgp,osmo17h2x3j7u44qkrq0sk8ul0r2qr440rwgjmx02jk,2.0,46358543021.0,55039801954.0,1.0,1.0,1.0,0.0,1.0,0.05,0.2,0.01,1.0,49868
96,01node,osmovaloper17mggn4znyeyg25wd7498qxl7r2jhgue8td054x,osmovalconspub1882kjn0jc270eqfduyagehz7kgxtw8sdfzyqld0tn9ft43jrszaszkq8hp,osmo17mggn4znyeyg25wd7498qxl7r2jhgue8368hzp,0.0,33000000000.0,58131934771.0,1.0,1.0,1.0,0.0,1.0,0.05,0.6,0.5,1.0,49235
97,Citadel.one,osmovaloper1lzhlnpahvznwfv4jmay2tgaha5kmz5qxwmj9we,osmovalconspub1fawznezz7wl22n4grxa8se3zgyzea5fkstvt2as98prkjhrpl6usdy6dtx,osmo1lzhlnpahvznwfv4jmay2tgaha5kmz5qx5v6xe7,0.0,26640000000.0,1235863201189.0,1.0,1.0,1.0,0.0,1.0,0.05,0.2,0.03,1.0,49566
98,pomifer,osmovaloper1ls4kmz5v7ytwcqmmchkex970565j8q3d5s6gdw,osmovalconspub16cqap7jn8rtte4vx43huptlqjmfqcaygsrv2e6e2amgjdd3e476qmy8w05,osmo1ls4kmz5v7ytwcqmmchkex970565j8q3dw8jt6f,3.0,35070000000.0,73941091093.0,1.0,1.0,1.0,0.0,1.0,0.055,0.055,0.005,1.0,49847
99,Smart Stake - osmosis.smartstake.io,osmovaloper1l7hln0l79erqaw6jdfdwx0hkfmj3dp27gr77ja,osmovalconspub18s8er0f224xuq9sy8llf7909k3ed5wwkjnxm46f5vl3nr2flhtzsqrv4my,osmo1l7hln0l79erqaw6jdfdwx0hkfmj3dp27j5ka96,1.0,5792000000.0,582911881988.0,1.0,1.0,1.0,1.0,1.0,0.05,0.1,0.01,1.0,49487
