,moniker,proposals_voted,self_delegation,tokens,tokens_bluring,identity,website,security_contact,details,commission_rate,max_commission_rate,max_commission_change_rate,min_self_delegation,pre_commits,result
0,0base.vc,45.0,0.028110763764802215,4.365396032974337,5.050000000000015,2.0,1.0,1.0,1.0,3.125000000000006,1.2300000000000058,1.5899999999999996,1.3500000000000052,12.524999999999995,79.26350679673916
1,stake.systems,45.0,0.14276048949229225,0.05466176650533448,5.050000000000015,2.0,1.0,0.0,1.0,0.35000000000000936,1.2300000000000058,1.5899999999999996,1.3500000000000052,14.85,73.61742225599765
2,kytzu,45.0,0.18666490873196237,0.053581935813023576,5.050000000000015,2.0,1.0,0.0,1.0,0.35000000000000936,1.2300000000000058,1.5899999999999996,1.3500000000000052,14.474999999999998,73.28524684454501
3,bro_n_bro,45.0,0.0014572353469781449,0.09179143542481555,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,2.205000000000005,1.5899999999999996,1.3500000000000052,10.199999999999989,72.61324867077181
4,POSTHUMAN ∞ DVS,45.0,0.0024322430252205806,0.13535849511424258,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,1.2300000000000058,0.4399999999999986,1.3500000000000052,10.72499999999999,71.05779073813947
5,B-Harvest,45.0,0.007091878688626972,1.1218428739325774,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,1.2300000000000058,1.5899999999999996,1.3500000000000052,7.1999999999999815,69.67393475262122
6,Cosmostation,36.0,0.626667198673222,6.0,5.050000000000015,2.0,1.0,1.0,1.0,3.125000000000006,1.2300000000000058,0.23999999999999844,1.3500000000000052,9.299999999999986,67.92166719867325
7,NosNode🧪🧿,36.0,0.11287955030411115,0.38686761143604165,5.050000000000015,2.0,1.0,1.0,1.0,3.125000000000006,1.2300000000000058,0.7899999999999989,1.3500000000000052,12.749999999999995,65.79474716174019
8,Cros-nest,36.0,0.055451274560487415,0.5719953624790256,5.050000000000015,2.0,1.0,0.0,0.0,3.125000000000006,1.2300000000000058,1.5899999999999996,1.3500000000000052,10.42499999999999,62.39744663703953
9,Lavender.Five Nodes,36.0,0.0001450296131040154,0.18764870992751498,5.050000000000015,2.0,1.0,1.0,1.0,3.125000000000006,0.21000000000000493,0.7899999999999989,1.3500000000000052,8.099999999999984,59.81279373954064
10,SkyNet | Validators,36.0,0.0006522862981711697,0.07709923992053697,5.050000000000015,2.0,1.0,1.0,1.0,3.125000000000006,1.2300000000000058,0.7899999999999989,1.3500000000000052,6.299999999999979,58.92275152621872
11,syncnode,27.0,0.2900245301283408,0.053681730151304174,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,2.520000000000003,0.7899999999999989,1.3500000000000052,13.049999999999997,57.22870626027967
12,Bi23 Labs,27.0,0.023928615328034086,0.04872786406773086,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,2.7750000000000017,0.7899999999999989,1.3500000000000052,10.42499999999999,54.58765647939579
13,wave,27.0,0.0017348039844977915,0.052029133894872515,5.050000000000015,2.0,1.0,0.0,0.0,3.125000000000006,1.2300000000000058,1.5899999999999996,1.3500000000000052,11.324999999999992,53.7237639378794
14,CryptoCrew Validators ✅,27.0,0.0069457260536332005,0.34902309662131115,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,0.21000000000000493,0.6199999999999988,2.97,9.524999999999988,52.85596882267497
15, BlockNgine 100% slash protected,36.0,5.847662698591685e-05,0.16926444831049425,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,0.21000000000000493,1.5899999999999996,1.3500000000000052,1.1999999999999758,52.69432292493748
16,[ block pane ],27.0,0.11339372764271365,0.5022408045834289,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,0.21000000000000493,1.5899999999999996,1.3500000000000052,9.749999999999988,52.69063453222616
17,WhisperNode,27.0,6.939215937991166e-06,0.06533359990657023,5.050000000000015,2.0,1.0,1.0,1.0,3.125000000000006,1.2300000000000058,0.7899999999999989,1.3500000000000052,8.849999999999985,52.460340539122534
18,Stakecito,27.0,6.939215937991167e-05,0.8359406039059525,5.050000000000015,2.0,0.0,0.0,1.0,3.125000000000006,1.2300000000000058,1.0799999999999992,1.3500000000000052,8.549999999999985,51.22100999606535
19,StakeLab,27.0,0.0003610620539385255,1.938465791716233,5.050000000000015,2.0,1.0,1.0,1.0,3.125000000000006,1.2300000000000058,1.5899999999999996,1.3500000000000052,4.6499999999999755,50.93382685377018
20,pomifer,27.0,0.24335830294535019,0.0695919921593712,5.050000000000015,2.0,1.0,0.0,1.0,1.20000000000001,0.03000000000000491,2.0,1.3500000000000052,9.899999999999988,50.84295029510476
21,Validating Chaos,18.0,0.009104543236519706,0.6817797331721546,5.050000000000015,2.0,0.0,0.0,0.0,3.125000000000006,2.7750000000000017,1.5899999999999996,1.3500000000000052,13.049999999999997,47.6308842764087
22,Chandra Station ,18.0,6.939215937991166e-06,1.0748697381362229,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,0.21000000000000493,1.5899999999999996,1.3500000000000052,12.149999999999993,46.54987667735219
23,KalpaTech,27.0,0.12031939240919168,0.2794929977948927,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,1.2300000000000058,0.4399999999999986,1.3500000000000052,3.5999999999999743,46.19481239020409
24,FreshOSMO.com,18.0,0.32169194059337236,0.051802447183508356,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,1.2300000000000058,1.5899999999999996,1.3500000000000052,11.324999999999992,46.0434943877769
25,Little_Cryptoman,27.0,0.0006939215937991166,0.4568742469523219,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,1.2300000000000058,1.0799999999999992,1.3500000000000052,2.699999999999975,45.99256816854613
26,e-Money.com // validator.network,27.0,0.09263853277218208,0.36610068950018987,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,2.7750000000000017,0.06999999999999851,2.8650000000000015,0.44999999999997575,45.793739222272364
27,天照☀,27.0,0.008408213380890093,0.04952093229168915,5.050000000000015,2.0,0.0,0.0,0.0,3.125000000000006,1.2300000000000058,0.4399999999999986,2.8650000000000015,3.4499999999999744,45.21792914567258
28,Jerry's Pool,27.0,0.0025736062480700306,0.05215970963944008,5.050000000000015,2.0,1.0,1.0,1.0,3.125000000000006,0.21000000000000493,1.5899999999999996,1.3500000000000052,0.8999999999999758,44.279733315887526
29,Staking Fund,18.0,0.04212659211635677,0.14418338485511523,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,1.2300000000000058,0.23999999999999844,1.3500000000000052,10.72499999999999,43.9063099769715
30,Komikuri,18.0,6.939221489363917e-05,0.16673261143291437,5.050000000000015,0.0,0.0,0.0,1.0,3.125000000000006,1.2300000000000058,0.4399999999999986,1.3500000000000052,13.049999999999997,43.411802003647836
31,StakeWithUs,18.0,0.0042329217221746115,0.656177326530999,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,1.2300000000000058,1.5899999999999996,1.3500000000000052,8.324999999999985,43.33041024825319
32,hydrogen18,27.0,7.633137531790282e-06,0.11798167399312523,5.050000000000015,0.0,0.0,0.0,0.0,3.125000000000006,0.21000000000000493,0.4399999999999986,1.3500000000000052,5.849999999999978,43.14298930713067
33,AC Validator 🚀,18.0,6.939215937991166e-06,0.12189367046251151,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,2.370000000000004,0.1599999999999985,1.3500000000000052,8.324999999999985,42.50190060967847
34,SpacePotato,27.0,0.03470012247716131,0.10507671583892865,5.050000000000015,2.0,1.0,0.0,1.0,0.35000000000000936,1.2300000000000058,1.5899999999999996,1.3500000000000052,1.4999999999999756,42.2097768383161
35,dimi 🦙,18.0,0.06458328273488378,0.12359561934207458,5.050000000000015,2.0,1.0,1.0,1.0,3.125000000000006,2.7750000000000017,0.4399999999999986,1.3500000000000052,4.799999999999976,40.72817890207696
36,Mandragora,18.0,0.057078978242088435,0.08210352225653328,5.050000000000015,2.0,0.0,0.0,1.0,0.35000000000000936,1.2300000000000058,1.5899999999999996,2.8650000000000015,6.149999999999979,38.37418250049863
37,Forbole,9.0,0.1561639710912264,0.9719376274977615,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,2.7750000000000017,0.06999999999999851,1.3500000000000052,11.849999999999994,38.34810159858901
38,SmartNodes,9.0,0.014983517120780523,0.09273651935608014,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,1.2300000000000058,1.5899999999999996,1.3500000000000052,11.549999999999992,37.00272003647688
39,SG-1,18.0,0.3407155025553663,2.176918160632344,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,1.2300000000000058,0.7899999999999989,1.3500000000000052,0.5999999999999758,36.66263366318771
40,SOLAR Validator,9.0,0.06336891994573533,0.06643339892164729,5.050000000000015,2.0,1.0,1.0,1.0,3.125000000000006,2.7750000000000017,1.5899999999999996,1.3500000000000052,7.799999999999983,35.819802318867396
41,#decentralizehk,18.0,0.02022712053765045,0.12941847608914955,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,2.4900000000000033,0.7899999999999989,1.3500000000000052,0.29999999999997573,35.25464559662681
42,Figment,0.0,0.6098946280059816,3.0859494275274013,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,1.2300000000000058,1.5899999999999996,1.3500000000000052,13.649999999999997,33.69084405553341
43,binary_holdings,0.0,0.0782054590326039,1.0632257715814195,5.050000000000015,2.0,1.0,0.0,0.0,3.125000000000006,2.370000000000004,1.0799999999999992,2.7300000000000018,14.474999999999998,32.971431230614044
44,Inotel,0.0,0.06939215937991167,4.485692673912507,5.050000000000015,2.0,1.0,0.0,1.0,1.1000000000000096,2.205000000000005,0.19999999999999848,1.3500000000000052,14.174999999999997,32.63508483329245
45,Cephalopod Equipment Corp,9.0,0.0006939215937991166,1.074910629249985,5.050000000000015,2.0,1.0,1.0,1.0,0.7000000000000095,2.2800000000000047,1.1799999999999993,2.7600000000000016,5.399999999999977,32.44560455084379
46,Cat Boss,9.0,6.939215937991166e-06,0.0812239649004927,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,2.7750000000000017,0.06999999999999851,1.3500000000000052,6.59999999999998,32.05123090411644
47,Smart Stake - osmosis.smartstake.io,9.0,0.040191938712844835,0.5486259199217254,5.050000000000015,2.0,1.0,1.0,1.0,3.125000000000006,0.21000000000000493,1.5899999999999996,1.3500000000000052,4.949999999999976,30.863817858634576
48,Simply Staking,0.0,0.1457235346978145,0.0869382124229444,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,1.2300000000000058,1.5899999999999996,2.8650000000000015,12.524999999999995,30.61766174712078
49,notional,9.0,0.1799755045677389,0.5621246918971299,5.050000000000015,2.0,1.0,0.0,1.0,0.6500000000000095,1.2300000000000058,1.5899999999999996,1.3500000000000052,6.899999999999981,30.51210019646489
50,Klub Staking,0.0,6.939215937991166e-06,0.11879087529930767,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,0.21000000000000493,1.5899999999999996,1.3500000000000052,15.0,30.443797814515275
51,0% to 2023 | Fee Recovery,0.0,6.939215937991166e-06,0.04952515794752271,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,1.2300000000000058,1.5899999999999996,1.3500000000000052,13.649999999999997,30.04453209716349
52,ushakov,0.0,0.01820156340535083,0.09377685953045208,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,1.2300000000000058,0.7899999999999989,1.3500000000000052,14.174999999999997,29.831978422935833
53,Chainflow,0.0,0.08662223255394373,0.21032490601293324,5.050000000000015,2.0,1.0,0.0,0.0,3.125000000000006,2.7750000000000017,0.4399999999999986,1.3500000000000052,13.649999999999997,29.6869471385669
54,Secure Secrets,0.0,6.939215937991166e-06,0.1860369593709522,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,1.2300000000000058,1.0799999999999992,1.3500000000000052,13.649999999999997,29.671043898586916
55,Sentinel,0.0,0.03469607968995583,5.489868927217107,5.050000000000015,2.0,1.0,1.0,1.0,3.125000000000006,1.2300000000000058,0.7899999999999989,1.3500000000000052,7.049999999999981,29.119565006907074
56,Imperator.co,9.0,0.1735497906091591,1.1787197828892186,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,1.2300000000000058,1.5899999999999996,1.3500000000000052,2.399999999999975,29.097269573498384
57,Cypher Core,0.0,0.5188448893507323,0.17041522012877414,5.050000000000015,2.0,1.0,0.0,1.0,0.35000000000000936,1.2300000000000058,1.5899999999999996,1.3500000000000052,14.7,28.959260109479537
58,ITA Stakers,0.0,0.05879450160122408,0.0853525380547076,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,1.2300000000000058,1.5899999999999996,1.3500000000000052,12.299999999999994,28.78914703965596
59,ChainLayer,0.0,0.35119371862173293,0.2610807133117058,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,0.21000000000000493,1.5899999999999996,1.3500000000000052,11.849999999999994,27.787274431933465
60,artifact,0.0,0.018957889312566572,0.15648928187308836,5.050000000000015,2.0,0.0,0.0,0.0,3.125000000000006,1.2300000000000058,1.0799999999999992,1.3500000000000052,13.649999999999997,27.66044717118568
61,Coverlet,0.0,0.25765060586988275,0.0516830350975373,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,1.2300000000000058,0.4399999999999986,1.3500000000000052,11.849999999999994,27.354333640967447
62,Validatus,0.0,0.0007633137531790283,0.1880380408282356,5.050000000000015,2.0,1.0,1.0,1.0,3.125000000000006,1.2300000000000058,0.4399999999999986,2.700000000000002,9.149999999999986,26.88380135458143
63,Chorus One,0.0,1.2231399378523822,1.600441792229572,5.050000000000015,2.0,1.0,1.0,1.0,0.7500000000000095,2.205000000000005,0.4399999999999986,1.3500000000000052,8.999999999999986,26.618581730081974
64,Plural,0.0,6.939215937991166e-06,0.05311030059442121,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,2.7750000000000017,0.06999999999999851,1.3500000000000052,10.049999999999988,26.473117239810378
65,SolidStake,0.0,0.03599463251647196,0.096908610372405,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,1.2300000000000058,1.0799999999999992,1.3500000000000052,9.524999999999988,25.492903242888897
66,ztake.org,0.0,0.08543598812006231,0.20634910674895557,5.050000000000015,2.0,1.0,0.0,1.0,0.8750000000000097,2.7750000000000017,0.06999999999999851,1.3500000000000052,10.94999999999999,25.361785094869035
67,KDF,0.0,6.0,0.8156833654691817,5.050000000000015,0.0,0.0,0.0,1.0,0.0500000000000094,2.7750000000000017,0.06999999999999851,1.3500000000000052,7.799999999999983,24.910683365469197
68,strangelove-ventures,0.0,1.238670862579237,0.9863372123024754,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,2.7750000000000017,0.1599999999999985,1.3500000000000052,5.999999999999979,24.68500807488172
69,commercio.network,0.0,6.939215937991166e-06,0.3256385204206128,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,2.205000000000005,1.0799999999999992,1.3500000000000052,7.499999999999982,24.635645459636564
70,Provalidator,0.0,6.939215937991166e-06,1.0813961243134762,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,1.2300000000000058,0.4399999999999986,1.3500000000000052,7.799999999999983,24.07640306352943
71,fissionlabs,0.0,0.012418757436237281,0.110800687402766,5.050000000000015,0.0,1.0,1.0,0.0,0.35000000000000936,1.2300000000000058,1.5899999999999996,1.3500000000000052,11.09999999999999,22.79321944483903
72,Zero Knowledge Validator (ZKV),0.0,0.0012421196529004187,0.39719656131100783,5.050000000000015,2.0,1.0,1.0,1.0,0.8750000000000097,2.7750000000000017,0.7899999999999989,1.3500000000000052,6.44999999999998,22.68843868096392
73,Citadel.one,0.0,0.18486071258808467,1.1631716672807186,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,1.2300000000000058,0.9599999999999991,1.3500000000000052,5.549999999999978,22.613032379868812
74,blockscape,0.0,0.19492346905977093,0.14617504277711155,5.050000000000015,2.0,1.0,0.0,1.0,0.35000000000000936,1.2300000000000058,1.5899999999999996,1.3500000000000052,8.699999999999985,22.6110985118369
75,BR Labs,0.0,6.939215937991166e-06,0.08232400596958697,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,2.1000000000000054,1.5899999999999996,1.3500000000000052,5.0999999999999766,22.397330945185534
76,wosmongton,0.0,2.08176478139735e-05,2.8090912232779717,5.050000000000015,2.0,0.0,0.0,1.0,3.125000000000006,1.2300000000000058,1.5899999999999996,1.3500000000000052,4.049999999999974,22.204112040925793
77,🐠stake.fish,0.0,4.1635295627947e-05,0.6079193610174034,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,1.2300000000000058,1.5899999999999996,1.3500000000000052,5.249999999999977,22.202960996313045
78,Stakely-io,0.0,8.3270591255894e-06,0.050793076657384376,5.050000000000015,2.0,1.0,1.0,1.0,3.125000000000006,1.2300000000000058,1.5899999999999996,1.3500000000000052,4.349999999999975,21.745801403716513
79,AUDIT.one,0.0,6.939215937991166e-06,0.14340243086337376,5.050000000000015,2.0,1.0,0.0,1.0,0.8750000000000097,1.2300000000000058,1.5899999999999996,1.3500000000000052,7.349999999999982,21.588409370079326
80,Bison Trails,0.0,1.3878431875982332e-05,0.18267571177041173,5.050000000000015,2.0,1.0,1.0,1.0,1.1000000000000096,2.7750000000000017,0.23999999999999844,1.3500000000000052,5.699999999999978,21.397689590202297
81,01node,0.0,0.2289941259537085,0.05471270560106058,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,2.4600000000000035,0.1599999999999985,1.3500000000000052,4.499999999999975,20.928706831554774
82,OmniFlix Network,0.0,0.04670092326268055,0.47813210727676236,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,2.370000000000004,0.4399999999999986,1.3500000000000052,3.7499999999999742,20.60983303053945
83,mp20,0.0,6.939215937991167e-05,0.05227119141327239,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,2.7750000000000017,1.0799999999999992,1.3500000000000052,2.8499999999999748,20.282340583572655
84,Swiss Staking,0.0,6.939215937991167e-05,0.112185460528272,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,2.1000000000000054,0.9799999999999991,1.3500000000000052,3.2999999999999745,20.01725485268766
85,Staky.io,0.0,2.7756863751964663e-05,0.053220028547928705,5.050000000000015,2.0,1.0,1.0,1.0,3.125000000000006,2.7750000000000017,0.7899999999999989,1.3500000000000052,1.6499999999999755,19.793247785411687
86,Witval,0.0,0.18041961438777032,0.3596485686316204,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,0.390000000000005,1.0799999999999992,1.3500000000000052,4.199999999999974,19.735068183019393
87,ping,0.0,0.1878862107370488,0.058741426411974745,5.050000000000015,2.0,1.0,0.0,0.0,3.125000000000006,1.2300000000000058,0.4399999999999986,1.3500000000000052,3.899999999999974,18.341627637149028
88,blitz,0.0,1.3878431875982332e-05,0.1054779313207396,5.050000000000015,0.0,1.0,0.0,1.0,1.1000000000000096,1.2300000000000058,0.4399999999999986,1.3500000000000052,6.7499999999999805,18.02549180975263
89,StakeThat,0.0,0.00023593334189169965,0.04815842520586773,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,1.2300000000000058,0.4399999999999986,1.3500000000000052,2.549999999999975,17.79339435854777
90,samurai,0.0,0.011853485720828404,0.06456656899825673,5.050000000000015,0.0,0.0,0.0,1.0,3.125000000000006,1.2300000000000058,1.5899999999999996,1.3500000000000052,3.1499999999999746,16.57142005471909
91,BasBlock,0.0,0.046571905314398525,0.17170295095632043,5.050000000000015,2.0,0.0,0.0,0.0,3.125000000000006,2.370000000000004,0.4399999999999986,2.8650000000000015,0.14999999999997574,16.21827485627072
92,nonce classic,0.0,6.939215937991166e-06,0.09998018569682901,5.050000000000015,2.0,1.0,1.0,1.0,0.35000000000000936,1.2300000000000058,0.7899999999999989,1.3500000000000052,2.249999999999975,16.119987124912775
93,Stargaze,0.0,0.05743627891484541,0.10328394141790853,5.050000000000015,2.0,1.0,0.0,1.0,0.35000000000000936,2.370000000000004,0.7899999999999989,1.3500000000000052,1.9499999999999753,16.020720220332763
94,iqlusion,0.0,0.06939215937991167,0.43819665559842946,5.050000000000015,2.0,1.0,0.0,0.0,0.8750000000000097,1.2300000000000058,1.5899999999999996,3.0,0.7499999999999758,16.002588814978346
95,DSRV,0.0,6.939215937991166e-06,0.414402360047733,5.050000000000015,2.0,1.0,1.0,1.0,0.35000000000000936,1.2300000000000058,0.7899999999999989,1.3500000000000052,1.7999999999999754,15.98440929926368
96,Merkan,0.0,7.80282217912198e-06,0.09594351639485407,5.050000000000015,0.0,1.0,0.0,1.0,3.125000000000006,1.2300000000000058,0.7899999999999989,1.3500000000000052,1.3499999999999757,14.99095131921704
97,Skystar Capital,0.0,0.020817647813973498,0.5845873870066174,5.050000000000015,0.0,0.0,0.0,0.0,3.125000000000006,0.21000000000000493,1.5899999999999996,1.3500000000000052,2.9999999999999747,14.930405034820597
98,BouBouNode,0.0,0.6182664276916351,0.9502594620313864,5.050000000000015,0.0,1.0,0.0,1.0,1.0000000000000098,2.1000000000000054,0.4399999999999986,1.3500000000000052,1.0499999999999758,14.558525889723029
99,StarCluster,0.0,3.4696079689955834e-05,0.06197128450824499,5.050000000000015,0.0,0.0,0.0,0.0,0.35000000000000936,1.2300000000000058,1.5899999999999996,2.8650000000000015,2.099999999999975,13.247005980587941
